       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
       361        1.1329        1.5363       30.00             38.45      52.9         3.09120         0.015456
       362        1.1360        1.5420       30.00             38.45      52.8         3.08487         0.016431
       363        1.1390        1.5476       30.00             38.45      52.8         3.07854         0.017405
       364        1.1420        1.5533       30.00             38.44      52.8         3.07221         0.018376
       365        1.1450        1.5589       30.00             38.44      52.8         3.06589         0.019346
       366        1.1481        1.5646       30.00             38.44      52.8         3.05956         0.020315
       367        1.1511        1.5702       30.00             38.44      52.7         3.05323         0.021282
       368        1.1541        1.5759       30.00             38.44      52.7         3.04691         0.022247
       369        1.1571        1.5815       30.00             38.44      52.7         3.04058         0.023210
       370        1.1602        1.5872       30.00             38.43      52.7         3.03426         0.024172
       371        1.1632        1.5928       30.00             38.43      52.7         3.02793         0.025132
       372        1.1662        1.5985       30.00             38.43      52.7         3.02161         0.026091
       373        1.1693        1.6041       30.00             38.43      52.6         3.01528         0.027048
       374        1.1723        1.6097       30.00             38.43      52.6         3.00896         0.028003
       375        1.1753        1.6154       30.00             38.43      52.6         3.00263         0.028956
       376        1.1784        1.6210       30.00             38.43      52.6         2.99631         0.029908
       377        1.1814        1.6267       30.00             38.42      52.6         2.98999         0.030858
       378        1.1845        1.6323       30.00             38.42      52.5         2.98366         0.031806
       379        1.1875        1.6379       30.00             38.42      52.5         2.97734         0.032753
       380        1.1905        1.6436       30.00             38.42      52.5         2.97102         0.033698
       381        1.1936        1.6492       30.00             38.42      52.5         2.96470         0.034641
       382        1.1966        1.6548       30.00             38.42      52.5         2.95838         0.035583
       383        1.1997        1.6605       30.00             38.41      52.4         2.95206         0.036523
       384        1.2027        1.6661       30.00             38.41      52.4         2.94573         0.037461
       385        1.2058        1.6717       30.00             38.41      52.4         2.93941         0.038397
