       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
       306        0.9030        1.2055       30.00             41.83      56.4         3.49378         0.000903
       307        0.9072        1.2111       30.00             41.83      56.4         3.48681         0.000901
       308        0.9114        1.2167       30.00             41.83      56.4         3.47984         0.000899
       309        0.9156        1.2222       30.00             41.83      56.4         3.47286         0.000897
       310        0.9197        1.2278       30.00             41.83      56.4         3.46589         0.000895
       311        0.9239        1.2334       30.00             41.83      56.4         3.45892         0.000894
       312        0.9281        1.2390       30.00             41.83      56.4         3.45195         0.000892
       313        0.9323        1.2446       30.00             41.83      56.4         3.44498         0.000890
       314        0.9365        1.2501       30.00             41.83      56.4         3.43800         0.000888
       315        0.9407        1.2557       30.00             41.83      56.4         3.43103         0.000886
       316        0.9449        1.2613       30.00             41.83      56.4         3.42406         0.000885
       317        0.9490        1.2669       30.00             41.83      56.4         3.41709         0.000883
       318        0.9532        1.2724       30.00             41.83      56.4         3.41012         0.000881
       319        0.9574        1.2780       30.00             41.83      56.4         3.40314         0.000879
       320        0.9616        1.2836       30.00             41.83      56.4         3.39617         0.000877
       321        0.9658        1.2892       30.00             41.83      56.4         3.38920         0.000876
       322        0.9700        1.2947       30.00             41.83      56.4         3.38223         0.000874
       323        0.9741        1.3003       30.00             41.83      56.4         3.37526         0.000872
       324        0.9783        1.3059       30.00             41.83      56.4         3.36828         0.000870
       325        0.9825        1.3115       30.00             41.83      56.4         3.36131         0.000868
       326        0.9867        1.3170       30.00             41.83      56.4         3.35434         0.000867
       327        0.9909        1.3226       30.00             41.83      56.4         3.34737         0.000865
       328        0.9951        1.3282       30.00             41.83      56.4         3.34040         0.000863
       329        0.9993        1.3338       30.00             41.83      56.4         3.33342         0.000861
       330        1.0034        1.3394       30.00             41.83      56.4         3.32645         0.000859
       331        1.0076        1.3449       30.00             41.83      56.4         3.31948         0.000858
       332        1.0118        1.3505       30.00             41.83      56.4         3.31251         0.000856
       333        1.0160        1.3561       30.00             41.83      56.4         3.30554         0.000854
       334        1.0202        1.3617       30.00             41.83      56.4         3.29856         0.000852
       335        1.0244        1.3672       30.00             41.83      56.4         3.29159         0.000850
       336        1.0285        1.3728       30.00             41.83      56.4         3.28462         0.000849
       337        1.0327        1.3784       30.00             41.83      56.4         3.27765         0.000847
       338        1.0369        1.3840       30.00             41.83      56.4         3.27068         0.000845
       339        1.0411        1.3895       30.00             41.83      56.4         3.26370         0.000843
       340        1.0453        1.3951       30.00             41.83      56.4         3.25673         0.000841
       341        1.0495        1.4007       30.00             41.83      56.4         3.24976         0.000840
